blue_boxCheckmark	380:36	418:72
blue_boxCross		380:0	418:36
blue_boxTick		386:210	422:246
blue_button00		0:94	190:143
blue_button01		190:49	380:94
blue_button02		190:0	380:49
blue_button03		0:49	190:94
blue_button04		0:0	190:49
blue_button05		0:192	190:237
blue_button06		288:194	337:243
blue_button07		239:194	288:243
blue_button08		190:194	239:239
blue_button09		339:94	388:143
blue_button10		290:94	339:139
blue_button11		337:184	386:233
blue_button12		290:139	339:184
blue_button13		0:143	190:192
blue_checkmark		337:233	358:253
blue_circle		386:174	422:210
blue_cross		0:237	18:255
blue_panel		190:94	290:194
blue_sliderDown		416:72	444:114
blue_sliderLeft		339:143	378:174
blue_sliderRight	378:143	417:174
blue_sliderUp		388:72	416:114
blue_tick		18:239	35:256
green_boxCheckmark	380:256	418:292
green_boxCross		380:292	418:328
green_boxTick		386:466	422:502
green_button00		0:256	190:305
green_button01		0:305	190:350
green_button02		0:350	190:399
green_button03		0:448	190:493
green_button04		190:256	380:305
green_button05		190:305	380:350
green_button06		337:440	386:489
green_button07		339:350	388:399
green_button08		290:395	339:440
green_button09		190:450	239:499
green_button10		290:350	339:395
green_button11		288:450	337:499
green_button12		239:450	288:495
green_button13		0:399	190:448
green_checkmark		337:489	358:509
green_circle		386:430	422:466
green_cross		0:493	18:511
green_panel		190:350	290:450
green_sliderDown	388:328	416:370
green_sliderLeft	378:399	417:430
green_sliderRight	339:399	378:430
green_sliderUp		416:328	444:370
green_tick		18:493	35:510
grey_arrowDownGrey	590:498	605:508
grey_arrowDownWhite	635:496	650:506
grey_arrowUpGrey	620:498	635:508
grey_arrowUpWhite	605:498	620:508
grey_box		659:433	697:469
grey_boxCheckmark	659:469	697:505
grey_boxCross		697:433	735:469
grey_boxTick		702:198	738:234
grey_button00		512:143	702:188
grey_button01		512:188	702:237
grey_button02		512:98	702:143
grey_button03		512:331	702:380
grey_button04		512:286	702:331
grey_button05		512:0	707:49
grey_button06		512:49	703:98
grey_button07		707:0	756:49
grey_button08		752:49	801:98
grey_button09		610:433	659:478
